Gene_name,row_names,Publication,Gene_ID,Pub_number
HPX,13503,Marshall et al.,Hpx,55
HPYR1,13504,Alexander E. Ivliev et al,HPYR1,8
HRAS,13505,Liu et al.,HRAS,28
HRH3,13510,Gabrielle Wheway,HRH3,27
HRH4,13511,Monika-Abedin-Sigg et al.,HRH4,30
HRNR,13512,Pazour et al.,HRNR,21
HS1BP3,13513,Gabrielle Wheway,HS1BP3,27
HS2ST1,13514,Alexander E. Ivliev et al,HS2ST1,8
HS2ST1,13515,Liu et al.,HS2ST1,28
HS2ST1,13516,McClintock et al.,HS2ST1,29
HS3ST1,13517,Phirke et al.,HS3ST1,3
HS3ST1,13518,McClintock et al.,HS3ST1,29
HS3ST3B1,13519,Ross et al.,HS3ST3B1,22
HS3ST6,13520,Alexander E. Ivliev et al,HS3ST6,8
HS6ST2,13521,Ross et al.,HS6ST2,22
HS6ST2,13522,McClintock et al.,HS6ST2,29
HS6ST2,13523,Marshall et al.,Hs6st2,55
HS6ST3,13524,Gabrielle Wheway,HS6ST3,27
HSBP1,13525,Alexander E. Ivliev et al,HSBP1,8
HSBP1,13526,Andersen et al.,HSBP1,9
HSBP1,13527,Andersen et al.,HSBP1,9
HSBP1,13528,Semil P. Choksi et al.,HSBP1,23
HSBP1,13529,Liu et al.,HSBP1,28
HSCB,13530,Nogales-Cadenas R. et al.,ENSG00000100209,46
HSD11B1,13531,Ross et al.,HSD11B1,22
HSD11B2,13532,Ross et al.,HSD11B2,22
HSD17B1,13533,Ross et al.,HSD17B1,22
HSD17B10,13534,Kilburn et al.,HSD17B10,1
HSD17B11,13535,Mayer et al. 2009,HSD17B11,19
HSD17B11,13536,Mayer et al. 2008,HSD17B11,51
HSD17B12,13537,Efimenko et al.,HSD17B12,2
HSD17B12,13538,Phirke et al.,HSD17B12,3
HSD17B12,13539,SYSCILIA Gold Standard (van Dam TJ et al.),HSD17B12,24
HSD17B12,13540,Liu et al.,HSD17B12,28
HSD17B12,13541,McClintock et al.,HSD17B12,29
HSD17B12,13542,Blacque et al._xbox,C56G2.6,54
HSD17B12,13543,Blacque et al._xbox,F11A5.12,54
HSD17B13,13544,McClintock et al.,HSD17B13,29
HSD17B13,13545,Blacque et al._xbox,T02E1.5,54
HSD17B14,13546,Monika-Abedin-Sigg et al.,HSD17B14,30
HSD17B14,13547,Jakobsen L. et al.,HSD17B14,43
HSD17B14,13548,Nogales-Cadenas R. et al.,ENSG00000087076,46
HSD17B14,13549,Marshall et al.,Hsd17b14,55
HSD17B14,13550,Blacque et al._xbox,C06E4.4,54
HSD17B2,13551,Ross et al.,HSD17B2,22
HSD17B4,13552,Kilburn et al.,HSD17B4,1
HSD17B4,13553,Efimenko et al.,HSD17B4,2
HSD17B4,13554,Andersen et al.,HSD17B4,9
HSD17B4,13555,Andersen et al.,HSD17B4,9
HSD17B4,13556,SYSCILIA Gold Standard (van Dam TJ et al.),HSD17B4,24
HSD17B4,13557,Gabrielle Wheway,HSD17B4,27
HSD17B4,13558,McClintock et al.,HSD17B4,29
HSD17B6,13559,Phirke et al.,HSD17B6,3
HSD17B6,13560,Mayer et al. 2008,HSD17B6,51
HSD17B8,13561,Laurençon et al.,HSD17B8,7
HSD17B8,13562,Monika-Abedin-Sigg et al.,HSD17B8,30
HSD3B2,13563,Laurençon et al.,HSD3B2,7
HSDL1,13564,Avidor-Reiss et al.,HSDL1,4
HSDL1,13565,Alexander E. Ivliev et al,HSDL1,8
HSDL1,13566,Gabrielle Wheway,HSDL1,27
HSDL1,13567,Liu et al.,HSDL1,28
HSDL1,13568,McClintock et al.,HSDL1,29
HSDL1,13569,Marshall et al.,Hsdl1,55
HSDL2,13570,Phirke et al.,HSDL2,3
HSDL2,13571,Alexander E. Ivliev et al,HSDL2,8
HSDL2,13572,Karsten Boldt et al.,HSDL2,16
HSDL2,13573,Monika-Abedin-Sigg et al.,HSDL2,30
HSDL2,13574,Blacque et al._xbox,C45B11.3,54
HSF1,13575,Karsten Boldt et al.,HSF1,16
HSF1,13576,Nogales-Cadenas R. et al.,ENSG00000185122,46
HSF2,13577,Alexander E. Ivliev et al,HSF2,8
HSF2BP,13578,Ross et al.,HSF2BP,22
HSF4,13579,Gabrielle Wheway,HSF4,27
HSFY1,13580,Gabrielle Wheway,HSFY1,27
HSFY2,13581,Gabrielle Wheway,HSFY2,27
HSH2D,13582,Gabrielle Wheway,HSH2D,27
HSP74,13583,David U. Mick et al.,HSP74,26
HSP90AA1,13584,Hannah Müller et al.,HSP90AA1,6
HSP90AA1,13585,Alexander E. Ivliev et al,HSP90AA1,8
HSP90AA1,13586,Andersen et al.,HSP90AA1,9
HSP90AA1,13587,Andersen et al.,HSP90AA1,9
HSP90AA1,13588,Mayer et al. 2009,HSP90AA1,19
HSP90AA1,13589,Pazour et al.,HSP90AA1,21
HSP90AA1,13590,SYSCILIA Gold Standard (van Dam TJ et al.),HSP90AA1,24
HSP90AA1,13591,Nogales-Cadenas R. et al.,ENSG00000080824,46
HSP90AA1,13592,Liu et al.,HSP90AA1,28
HSP90AA1,13593,McClintock et al.,HSP90AA1,29
HSP90AA1,13594,Monika-Abedin-Sigg et al.,HSP90AA1,30
HSP90AA1,13595,Fritz-Laylin L.K. et Cande,HSP90AA1,49
HSP90AA1,13596,Mayer et al. 2008,HSP90AA1,51
HSP90AA1,13597,Marshall et al.,Hsp90aa1,55
HSP90AA1,13598,Keller et al.,NP_005339.,33
HSP90AA4P,13599,Hannah Müller et al.,HSP90AA4P,6
HSP90AB1,13600,Hannah Müller et al.,HSP90AB1,6
HSP90AB1,13601,Andersen et al.,HSP90AB1,9
HSP90AB1,13602,Andersen et al.,HSP90AB1,9
HSP90AB1,13603,Bayesian (TJP van Dam et al.),HSP90AB1,11
HSP90AB1,13604,Cilia Carta (TJP van Dam et al.),HSP90AB1,13
HSP90AB1,13605,Mayer et al. 2009,HSP90AB1,19
HSP90AB1,13606,Liu et al.,HSP90AB1,28
HSP90AB1,13607,Lauwaet T. et al.,GL50803_98054-t26_1,40
HSP90AB1,13608,Fritz-Laylin L.K. et Cande,HSP90AB1,49
HSP90AB1,13609,Mayer et al. 2008,HSP90AB1,51
HSP90AB2P,13610,Karsten Boldt et al.,HSP90AB2P,16
HSP90AB3P,13611,Karsten Boldt et al.,HSP90AB3P,16
HSP90AB4P,13612,Hannah Müller et al.,HSP90AB4P,6
HSP90B1,13613,Bayesian (TJP van Dam et al.),HSP90B1,11
HSP90B1,13614,Cilia Carta (TJP van Dam et al.),HSP90B1,13
HSP90B1,13615,Mayer et al. 2009,HSP90B1,19
HSP90B1,13616,SYSCILIA Gold Standard (van Dam TJ et al.),HSP90B1,24
HSP90B1,13617,Gabrielle Wheway,HSP90B1,27
HSP90B1,13618,Liu et al.,HSP90B1,28
HSP90B1,13619,McClintock et al.,HSP90B1,29
HSP90B1,13620,Blacque et al._sage,T05E11.3,59
HSPA12A,13621,Alexander E. Ivliev et al,HSPA12A,8
HSPA12A,13622,Liu et al.,HSPA12A,28
HSPA12B,13623,Li et al.,HSPA12B,18
HSPA13,13624,Gabrielle Wheway,HSPA13,27
HSPA13,13625,McClintock et al.,HSPA13,29
HSPA13,13626,Blacque et al._xbox,F54C9.2,54
HSPA1A,13627,Hannah Müller et al.,HSPA1A,6
HSPA1A,13628,Ostrowski et al.,P08107,20
HSPA1A,13629,Ross et al.,HSPA1A,22
HSPA1A,13630,Gabrielle Wheway,HSPA1A,27
HSPA1A,13631,Gabrielle Wheway,HSPA1A,27
HSPA1A,13632,Liu et al.,HSPA1A,28
HSPA1A,13633,Monika-Abedin-Sigg et al.,HSPA1A,30
HSPA1A,13634,Nogales-Cadenas R. et al.,ENSG00000204389,46
HSPA1B,13635,Hannah Müller et al.,HSPA1B,6
HSPA1B,13636,Ostrowski et al.,P08107,20
HSPA1B,13637,Ross et al.,HSPA1B,22
HSPA1B,13638,Gabrielle Wheway,HSPA1B,27
HSPA1B,13639,Liu et al.,HSPA1B,28
HSPA1B,13640,Monika-Abedin-Sigg et al.,HSPA1B,30
HSPA1B,13641,Broadhead et al.,HSPA1B,32
HSPA1B,13642,Nogales-Cadenas R. et al.,ENSG00000204388,46
HSPA1B,13643,Ishikawa H. et al,HSPA1B,48
HSPA1B,13644,Fritz-Laylin L.K. et Cande,HSPA1B,49
HSPA1L,13645,Hannah Müller et al.,HSPA1L,6
HSPA1L,13646,Bayesian (TJP van Dam et al.),HSPA1L,11
HSPA1L,13647,Cilia Carta (TJP van Dam et al.),HSPA1L,13
HSPA1L,13648,Karsten Boldt et al.,HSPA1L,16
HSPA1L,13649,Pazour et al.,HSPA1L,21
HSPA1L,13650,Ross et al.,HSPA1L,22
HSPA1L,13651,Liu et al.,HSPA1L,28
HSPA1L,13652,Marshall et al.,Hspa1l,55
HSPA2,13653,Hannah Müller et al.,HSPA2,6
HSPA2,13654,Alexander E. Ivliev et al,HSPA2,8
HSPA2,13655,Liu et al.,HSPA2,28
HSPA2,13656,Nogales-Cadenas R. et al.,ENSG00000126803,46
HSPA2,13657,Marshall et al.,Hspa2,55
HSPA2,13658,Nakachi M. et al.,XP_002129101,39
HSPA4,13659,Hannah Müller et al.,HSPA4,6
HSPA4,13660,Liu et al.,HSPA4,28
HSPA4,13661,Ishikawa H. et al,HSPA4,48
HSPA4,13662,Marshall et al.,Hspa4,55
HSPA4L,13663,Hannah Müller et al.,HSPA4L,6
HSPA4L,13664,Alexander E. Ivliev et al,HSPA4L,8
HSPA4L,13665,Bayesian (TJP van Dam et al.),HSPA4L,11
HSPA4L,13666,Cilia Carta (TJP van Dam et al.),HSPA4L,13
HSPA4L,13667,Gabrielle Wheway,HSPA4L,27
HSPA4L,13668,Liu et al.,HSPA4L,28
HSPA4L,13669,McClintock et al.,HSPA4L,29
HSPA4L,13670,Ramona A. Hoh et al.,HSPA4L,31
HSPA4L,13671,Marshall et al.,Hspa4l,55
HSPA5,12574,David U. Mick et al.,GRP78,26
HSPA5,13672,Kilburn et al.,HSPA5,1
HSPA5,13673,Phirke et al.,HSPA5,3
HSPA5,13674,Hannah Müller et al.,HSPA5,6
HSPA5,13675,Karsten Boldt et al.,HSPA5,16
HSPA5,13676,Mayer et al. 2009,HSPA5,19
HSPA5,13677,Pazour et al.,HSPA5,21
HSPA5,13678,SYSCILIA Gold Standard (van Dam TJ et al.),HSPA5,24
HSPA5,13679,Gabrielle Wheway,HSPA5,27
HSPA5,13680,Liu et al.,HSPA5,28
HSPA5,13681,Mayer et al. 2008,HSPA5,51
HSPA5,13682,Keller et al.,NP_005338.,33
HSPA6,13683,Hannah Müller et al.,HSPA6,6
HSPA6,13684,Ross et al.,HSPA6,22
Hspa8,13685,Ostrowski et al.,P08109,20
HSPA8,13686,Kilburn et al.,HSPA8,1
HSPA8,13687,Phirke et al.,HSPA8,3
HSPA8,13688,Hannah Müller et al.,HSPA8,6
HSPA8,13689,Laurençon et al.,HSPA8,7
HSPA8,13690,Andersen et al.,HSPA8,9
HSPA8,13691,Andersen et al.,HSPA8,9
HSPA8,13692,Cilia Carta (TJP van Dam et al.),HSPA8,13
HSPA8,13693,SYSCILIA Gold Standard (van Dam TJ et al.),HSPA8,24
HSPA8,13694,Liu et al.,HSPA8,28
HSPA8,13695,Lauwaet T. et al.,GL50803_88765-t26_1,40
HSPA8,13696,Nogales-Cadenas R. et al.,ENSG00000109971,46
HSPA8,13697,Fritz-Laylin L.K. et Cande,HSPA8,49
HSPA8,13698,Blacque et al._xbox,F26D10.3,54
HSPA8,13699,Blacque et al._xbox,C12C8.1,54
HSPA8,13700,Blacque et al._xbox,F11F1.1a,54
HSPA9,13701,Kilburn et al.,HSPA9,1
HSPA9,13702,Andersen et al.,HSPA9,9
HSPA9,13703,Andersen et al.,HSPA9,9
HSPA9,13704,SYSCILIA Gold Standard (van Dam TJ et al.),HSPA9,24
HSPA9,13705,Gabrielle Wheway,HSPA9,27
HSPA9,13706,McClintock et al.,HSPA9,29
HSPB1,13707,Laurençon et al.,HSPB1,7
HSPB1,13708,Ostrowski et al.,P04792,20
HSPB1,13709,McClintock et al.,HSPB1,29
HSPB1,13710,Ishikawa H. et al,HSPB1,48
HSPB11,13711,Alexander E. Ivliev et al,HSPB11,8
HSPB11,13712,Cilia Carta (TJP van Dam et al.),HSPB11,13
HSPB11,13713,Dey G et al.,HSPB11,14
HSPB11,13714,GO CC Cilium,HSPB11,15
HSPB11,13715,Karsten Boldt et al.,HSPB11,16
HSPB11,13716,Lambacher N. et al.,HSPB11,17
HSPB11,13717,Pazour et al.,HSPB11,21
HSPB11,13718,Semil P. Choksi et al.,HSPB11,23
HSPB11,13719,SYSCILIA Gold Standard (van Dam TJ et al.),HSPB11,24
HSPB11,13720,David K. Breslow et al.,HSPB11,25
HSPB11,13721,Liu et al.,HSPB11,28
HSPB11,13722,McClintock et al.,HSPB11,29
HSPB11,13723,Monika-Abedin-Sigg et al.,HSPB11,30
HSPB11,13724,Ramona A. Hoh et al.,HSPB11,31
HSPB11,13725,Ishikawa H. et al,HSPB11,48
HSPB11,13726,Hodges ME. et al.,FAP232,38
HSPB11,13727,Breslow et al.,Hspb11,58
HSPB2,13728,Gabrielle Wheway,HSPB2,27
HSPB6,13729,Phirke et al.,HSPB6,3
HSPB6,13730,Gabrielle Wheway,HSPB6,27
HSPB6,13731,Marshall et al.,Hspb6,55
HSPB6,13732,Blacque et al._xbox,F38E11.1,54
HSPB7,13733,Gabrielle Wheway,HSPB7,27
HSPB8,13734,Alexander E. Ivliev et al,HSPB8,8
HSPB8,13735,Ross et al.,HSPB8,22
HSPB9,13736,Marshall et al.,Hspb9,55
HSPBAP1,13737,Ross et al.,HSPBAP1,22
HSPBP1,13738,Alexander E. Ivliev et al,HSPBP1,8
HSPBP1,13739,Bayesian (TJP van Dam et al.),HSPBP1,11
HSPBP1,13740,Cilia Carta (TJP van Dam et al.),HSPBP1,13
HSPBP1,13741,Karsten Boldt et al.,HSPBP1,16
HSPBP1,13742,Ross et al.,HSPBP1,22
HSPD1,13743,Kilburn et al.,HSPD1,1
HSPD1,13744,Andersen et al.,HSPD1,9
HSPD1,13745,Andersen et al.,HSPD1,9
HSPD1,13746,SYSCILIA Gold Standard (van Dam TJ et al.),HSPD1,24
HSPD1,13747,Liu et al.,HSPD1,28
HSPD1,13748,Broadhead et al.,HSPD1,32
HSPE1,13749,Alexander E. Ivliev et al,HSPE1,8
HSPE1-MOB4,13750,Liu et al.,HSPE1-MOB4,28
HSPG2,13751,Ross et al.,HSPG2,22
HSPG2,13752,McClintock et al.,HSPG2,29
HSPH1,13753,Hannah Müller et al.,HSPH1,6
HSPH1,13754,Alexander E. Ivliev et al,HSPH1,8
HSPH1,13755,Andersen et al.,HSPH1,9
HSPH1,13756,Andersen et al.,NP_006635,9
HSPH1,13757,Andersen et al.,HSPH1,9
HSPH1,13758,Ross et al.,HSPH1,22
HSPH1,13759,Ishikawa H. et al,HSPH1,48
HTATIP2,13760,Fritz-Laylin L.K. et Cande,HTATIP2,49
HTATIP2,13761,Yano J. et al.,HTATIP2,50
HTATSF1,13762,Gabrielle Wheway,HTATSF1,27
HTR1B,13763,Efimenko et al.,HTR1B,2
HTR1B,13764,Gabrielle Wheway,HTR1B,27
HTR1D,13765,Gabrielle Wheway,HTR1D,27
HTR1F,13766,Gabrielle Wheway,HTR1F,27
HTR2A,13767,Efimenko et al.,HTR2A,2
HTR2A,13768,Gabrielle Wheway,HTR2A,27
HTR2B,13769,Gabrielle Wheway,HTR2B,27
HTR2B,13770,Marshall et al.,Htr2b,55
HTR4,13771,Alexander E. Ivliev et al,HTR4,8
HTR6,13772,Cilia Carta (TJP van Dam et al.),HTR6,13
HTR6,13773,GO CC Cilium,HTR6,15
HTR6,13774,SYSCILIA Gold Standard (van Dam TJ et al.),HTR6,24
HTRA1,13775,Alexander E. Ivliev et al,HTRA1,8
HTRA1,13776,Gabrielle Wheway,HTRA1,27
HTRA2,13777,Karsten Boldt et al.,HTRA2,16
HTT,13778,Laurençon et al.,HTT,7
HTT,13779,Cilia Carta (TJP van Dam et al.),HTT,13
HTT,13780,Ross et al.,HTT,22
HTT,13781,SYSCILIA Gold Standard (van Dam TJ et al.),HTT,24
HTT,13782,Liu et al.,HTT,28
HTT,13783,Nogales-Cadenas R. et al.,ENSG00000197386,46
HUNK,13784,Lambacher N. et al.,HUNK,17
HUNK,13785,Gabrielle Wheway,HUNK,27
HUNK,13786,Nogales-Cadenas R. et al.,ENSG00000142149,46
HUWE1,13787,Bayesian (TJP van Dam et al.),HUWE1,11
HUWE1,13788,Cilia Carta (TJP van Dam et al.),HUWE1,13
HUWE1,13789,Gabrielle Wheway,HUWE1,27
HUWE1,13790,Liu et al.,HUWE1,28
HUWE1,13791,McClintock et al.,HUWE1,29
HUWE1,13792,Yano J. et al.,HUWE1,50
HYAL1,13793,Ross et al.,HYAL1,22
HYDIN,13794,Kilburn et al.,HYDIN,1
HYDIN,13795,Alexander E. Ivliev et al,HYDIN,8
HYDIN,13796,Cilia Carta (TJP van Dam et al.),HYDIN,13
HYDIN,13797,Dey G et al.,HYDIN,14
HYDIN,13798,GO CC Cilium,HYDIN,15
HYDIN,13799,Pazour et al.,HYDIN,21
HYDIN,13800,Ross et al.,HYDIN,22
HYDIN,13801,Semil P. Choksi et al.,HYDIN,23
HYDIN,13802,SYSCILIA Gold Standard (van Dam TJ et al.),HYDIN,24
HYDIN,13803,McClintock et al.,HYDIN,29
HYDIN,13804,Monika-Abedin-Sigg et al.,HYDIN,30
HYDIN,13805,Ramona A. Hoh et al.,HYDIN,31
HYDIN,13806,Broadhead et al.,HYDIN,32
HYDIN,13807,Boesger J et al.,HYDIN,37
HYDIN,13808,Lauwaet T. et al.,GL50803_137712-t26_1,40
HYDIN,13809,Geremek M. et al. 2014,HYDIN,42
HYDIN,13810,Fritz-Laylin L.K. et Cande,HYDIN,49
HYDIN2,13811,Ross et al.,HYDIN2,22
HYI,13812,Ross et al.,HYI,22
HYKK,13813,Monika-Abedin-Sigg et al.,HYKK,30
HYLS1,13814,Andersen et al.,NP_659451,9
HYLS1,13815,Cilia Carta (TJP van Dam et al.),HYLS1,13
HYLS1,13816,Karsten Boldt et al.,HYLS1,16
HYLS1,13817,SYSCILIA Gold Standard (van Dam TJ et al.),HYLS1,24
HYLS1,13818,Nogales-Cadenas R. et al.,ENSG00000198331,46
HYLS1,13819,Marshall et al.,Hyls1,55
HYLS1,13820,Roosing et al.,HYLS1,57
HYOU1,13821,David U. Mick et al.,HYOU1,26
HYOU1,13822,Liu et al.,HYOU1,28
HYOU1,13823,Monika-Abedin-Sigg et al.,HYOU1,30
HYOU1,13824,Geremek M. et al. 2014,HYOU1,42
HYPK,13825,Pazour et al.,HYPK,21
HYPK,13826,Ross et al.,HYPK,22
IAPP,7911,Monika-Abedin-Sigg et al.,DAP,30
IAPP,7913,Marshall et al.,Dap,55
IARS1,13827,Karsten Boldt et al.,IARS,16
IARS1,13828,Gabrielle Wheway,IARS,27
IARS1,13829,Liu et al.,IARS,28
IARS1,13830,Lauwaet T. et al.,GL50803_104173-t26_1,40
IARS2,13831,Alexander E. Ivliev et al,IARS2,8
IBA57,13832,Phirke et al.,IBA57,3
IBSP,13833,Kim J. et al.,IBSP,44
ICA1,13834,McClintock et al.,ICA1,29
ICA1,13835,Blacque et al._sage,C32E8.7,59
ICA1,13841,Bechstedt et al.,ICA69,5
ICA1L,13836,Alexander E. Ivliev et al,ICA1L,8
ICA1L,13837,Lambacher N. et al.,ICA1L,17
ICA1L,13838,Ross et al.,ICA1L,22
ICA1L,13839,Geremek M. et al. 2014,ICA1L,42
ICA1L,13840,Roosing et al.,ICA1L,57
ICAM1,13842,Ross et al.,ICAM1,22
ICAM1,13843,Kim J. et al.,ICAM1,44
ICAM2,13844,Alexander E. Ivliev et al,ICAM2,8
ICAM4,13845,Ross et al.,ICAM4,22
ICE2,13846,Laurençon et al.,ICE2,7
ICE2,13847,Roosing et al.,ICE2,57
ICMT,13858,Liu et al.,ICMT,28
ID1,13859,Nogales-Cadenas R. et al.,ENSG00000125968,46
ID2,13860,Ross et al.,ID2,22
ID2B,13861,Ross et al.,ID2B,22
ID4,13862,Lambacher N. et al.,ID4,17
ID4,13863,Ross et al.,ID4,22
ID4,13864,Marshall et al.,Id4,55
IDE,13865,Chen et al.,IDE,12
IDE,13866,Lambacher N. et al.,IDE,17
IDE,13867,David U. Mick et al.,IDE,26
IDE,13868,Gabrielle Wheway,IDE,27
IDE,13869,Ishikawa H. et al,IDE,48
IDE,13870,Blacque et al._xbox,C02G6.2,54
IDH1,13871,Liu et al.,IDH1,28
IDH1,13872,Monika-Abedin-Sigg et al.,IDH1,30
IDH1,13873,Ishikawa H. et al,IDH1,48
IDH2,13874,Kilburn et al.,IDH2,1
IDH2,13875,Alexander E. Ivliev et al,IDH2,8
IDH2,13876,Andersen et al.,IDH2,9
IDH2,13877,Andersen et al.,IDH2,9
IDH2,13878,Karsten Boldt et al.,IDH2,16
IDH2,13879,Monika-Abedin-Sigg et al.,IDH2,30
IDH2,13880,Fritz-Laylin L.K. et Cande,IDH2,49
IDH2,13881,Nakachi M. et al.,XP_002124548,39
IDH3A,13882,Kilburn et al.,IDH3A,1
IDH3A,13883,Monika-Abedin-Sigg et al.,IDH3A,30
IDH3A,13884,Marshall et al.,Idh3a,55
IDH3A,13885,Nakachi M. et al.,XP_002130367,39
IDH3B,13886,Andersen et al.,IDH3B,9
IDH3B,13887,Andersen et al.,IDH3B,9
IDH3B,13888,Monika-Abedin-Sigg et al.,IDH3B,30
IDH3B,13889,Nakachi M. et al.,XP_002129499,39
IDH3G,13890,Phirke et al.,IDH3G,3
IDH3G,13891,McClintock et al.,IDH3G,29
IDH3G,13892,Broadhead et al.,IDH3G,32
IDH3G,13893,Marshall et al.,Idh3g,55
IDH3G,13894,Blacque et al._xbox,C30F12.7,54
IDHG1,13895,David U. Mick et al.,IDHG1,26
IDI1,13896,Liu et al.,IDI1,28
IDI1,13897,Geremek M. et al. 2011,IDI1,41
IDNK,13898,Alexander E. Ivliev et al,IDNK,8
IDNK,13899,Geremek M. et al. 2011,IDNK,41
IDO1,13900,Li et al.,IDO1,18
IDO1,13901,Ross et al.,IDO1,22
IDO1,13902,Gabrielle Wheway,IDO1,27
IDO2,13903,McClintock et al.,IDO2,29
IDS,13904,Laurençon et al.,IDS,7
IDS,13905,Ross et al.,IDS,22
IDUA,13906,Ross et al.,IDUA,22
IER3,13907,Ross et al.,IER3,22
IER3IP1,13908,Blacque et al._xbox,W09G3.8,54
IF122,13909,David U. Mick et al.,IF122,26
IF172,13910,David U. Mick et al.,IF172,26
IF4B,13911,David U. Mick et al.,IF4B,26
IF4H,13912,David U. Mick et al.,IF4H,26
IF5A1,13913,David U. Mick et al.,IF5A1,26
IFFO1,13914,Karsten Boldt et al.,IFFO1,16
IFFO2,13915,Nogales-Cadenas R. et al.,ENSG00000169991,46
IFI16,13916,Andersen et al.,IFI16,9
IFI16,13917,Gabrielle Wheway,IFI16,27
IFI27,13918,Alexander E. Ivliev et al,IFI27,8
IFI27L2,13919,Ross et al.,IFI27L2,22
IFI30,13920,Phirke et al.,IFI30,3
IFI35,13921,Ross et al.,IFI35,22
IFI44,13922,Ross et al.,IFI44,22
IFI44L,13923,Ross et al.,IFI44L,22
IFI6,13924,Ross et al.,IFI6,22
IFIH1,13925,Alexander E. Ivliev et al,IFIH1,8
IFIT1,13926,Ross et al.,IFIT1,22
IFIT1B,13927,Ishikawa H. et al,IFIT1B,48
IFIT2,13928,Alexander E. Ivliev et al,IFIT2,8
IFIT2,13929,Ross et al.,IFIT2,22
IFIT2,13930,Gabrielle Wheway,IFIT2,27
IFIT3,13931,Alexander E. Ivliev et al,IFIT3,8
IFIT3,13932,Ross et al.,IFIT3,22
IFIT3,13933,David U. Mick et al.,IFIT3,26
IFIT3,13934,Gabrielle Wheway,IFIT3,27
IFIT3,13935,Ishikawa H. et al,IFIT3,48
IFNA1,13936,Gabrielle Wheway,IFNA1,27
IFNA1,13938,Gabrielle Wheway,IFNA13,27
IFNA10,13937,Gabrielle Wheway,IFNA10,27
IFNA14,13939,Gabrielle Wheway,IFNA14,27
IFNA16,13940,Gabrielle Wheway,IFNA16,27
IFNA17,13941,Gabrielle Wheway,IFNA17,27
IFNA2,13942,Gabrielle Wheway,IFNA2,27
IFNA21,13943,Gabrielle Wheway,IFNA21,27
IFNA4,13944,Gabrielle Wheway,IFNA4,27
IFNA4,13945,Gabrielle Wheway,IFNA4,27
IFNA5,13946,Gabrielle Wheway,IFNA5,27
IFNA6,13947,Gabrielle Wheway,IFNA6,27
IFNA7,13948,Gabrielle Wheway,IFNA7,27
IFNA8,13949,Gabrielle Wheway,IFNA8,27
IFNAR2,13950,Alexander E. Ivliev et al,IFNAR2,8
IFNGR2,13951,Efimenko et al.,IFNGR2,2
IFNGR2,13952,Ross et al.,IFNGR2,22
IFT122,13953,Phirke et al.,IFT122,3
IFT122,13954,Alexander E. Ivliev et al,IFT122,8
IFT122,13955,Chen et al.,IFT122,12
IFT122,13956,Cilia Carta (TJP van Dam et al.),IFT122,13
IFT122,13957,Dey G et al.,IFT122,14
IFT122,13958,GO CC Cilium,IFT122,15
IFT122,13959,Karsten Boldt et al.,IFT122,16
IFT122,13960,Lambacher N. et al.,IFT122,17
IFT122,13961,Li et al.,IFT122,18
IFT122,13962,Pazour et al.,IFT122,21
IFT122,13963,SYSCILIA Gold Standard (van Dam TJ et al.),IFT122,24
IFT122,13964,David K. Breslow et al.,IFT122,25
IFT122,13965,Gabrielle Wheway,IFT122,27
IFT122,13966,Liu et al.,IFT122,28
IFT122,13967,McClintock et al.,IFT122,29
IFT122,13968,Monika-Abedin-Sigg et al.,IFT122,30
IFT122,13969,Ramona A. Hoh et al.,IFT122,31
IFT122,13970,Ishikawa H. et al,IFT122,48
IFT122,13971,Fritz-Laylin L.K. et Cande,IFT122,49
IFT122,13972,May et al.,Ift122,56
IFT122,13973,Breslow et al.,Ift122,58
IFT140,13974,Efimenko et al.,IFT140,2
IFT140,13975,Phirke et al.,IFT140,3
IFT140,13976,Alexander E. Ivliev et al,IFT140,8
IFT140,13977,Cilia Carta (TJP van Dam et al.),IFT140,13
IFT140,13978,Dey G et al.,IFT140,14
IFT140,13979,GO CC Cilium,IFT140,15
IFT140,13980,Karsten Boldt et al.,IFT140,16
IFT140,13981,Lambacher N. et al.,IFT140,17
IFT140,13982,Pazour et al.,IFT140,21
IFT140,13983,Semil P. Choksi et al.,IFT140,23
IFT140,13984,SYSCILIA Gold Standard (van Dam TJ et al.),IFT140,24
IFT140,13985,David K. Breslow et al.,IFT140,25
IFT140,13986,Liu et al.,IFT140,28
IFT140,13987,McClintock et al.,IFT140,29
IFT140,13988,Monika-Abedin-Sigg et al.,IFT140,30
IFT140,13989,Merchant et al.,IFT140,35
IFT140,13990,Geremek M. et al. 2011,IFT140,41
IFT140,13991,Geremek M. et al. 2014,IFT140,42
IFT140,13992,Ishikawa H. et al,IFT140,48
IFT140,13993,Hodges ME. et al.,IFT140,38
IFT140,13994,Blacque et al._xbox,C27A7.4,54
IFT140,13995,May et al.,Ift140,56
IFT140,13996,Roosing et al.,IFT140,57
IFT140,13997,Breslow et al.,Ift140,58
IFT172,13998,Efimenko et al.,IFT172,2
IFT172,13999,Phirke et al.,IFT172,3
IFT172,14000,Laurençon et al.,IFT172,7
IFT172,14001,Alexander E. Ivliev et al,IFT172,8
IFT172,14002,Chen et al.,IFT172,12
IFT172,14003,Cilia Carta (TJP van Dam et al.),IFT172,13
IFT172,14004,Dey G et al.,IFT172,14
IFT172,14005,GO CC Cilium,IFT172,15
IFT172,14006,Karsten Boldt et al.,IFT172,16
IFT172,14007,Lambacher N. et al.,IFT172,17
