Gene1ID	Gene1Symbol	Gene2Symbol	Gene1SpeciesName
ZDB-GENE-040715-8	nup205	NUP205	Danio rerio
FBgn0031078	Nup205	NUP205	Drosophila melanogaster
2141625	Nup205	NUP205	Mus musculus
S000003576	NUP192	NUP205	Saccharomyces cerevisiae
WBGene00003798	npp-12	NUP210	Caenorhabditis elegans
ZDB-GENE-050208-132	nup210	NUP210	Danio rerio
FBgn0266580	Gp210	NUP210	Drosophila melanogaster
1859555	Nup210	NUP210	Mus musculus
69339	Nup210	NUP210	Rattus norvegicus
1924845	Nup210l	NUP210L	Mus musculus
1310250	Nup210l	NUP210L	Rattus norvegicus
1304977	Nup214	NUP214	Rattus norvegicus
1095411	Nup214	NUP214	Mus musculus
FBgn0010660	Nup214	NUP214	Drosophila melanogaster
ZDB-GENE-110203-3	nup214	NUP214	Danio rerio
WBGene00003800	npp-14	NUP214	Caenorhabditis elegans
1303069	Nup35	NUP35	Rattus norvegicus
WBGene00003805	npp-19	NUP35	Caenorhabditis elegans
ZDB-GENE-030131-9407	nup35	NUP35	Danio rerio
FBgn0030943	Nup35	NUP35	Drosophila melanogaster
1916732	Nup35	NUP35	Mus musculus
S000004762	NUP53	NUP35	Saccharomyces cerevisiae
1307774	Nup37	NUP37	Rattus norvegicus
1919964	Nup37	NUP37	Mus musculus
ZDB-GENE-040718-363	nup37	NUP37	Danio rerio
FBgn0039301	Nup37	NUP37	Drosophila melanogaster
1560934	Nupl2	NUP42	Rattus norvegicus
ZDB-GENE-040426-2292	nup42	NUP42	Danio rerio
FBgn0042125	CG18787	NUP42	Drosophila melanogaster
2387631	Nupl2	NUP42	Mus musculus
WBGene00007493	npp-23	NUP43	Caenorhabditis elegans
ZDB-GENE-040426-2533	nup43	NUP43	Danio rerio
FBgn0038609	Nup43	NUP43	Drosophila melanogaster
1917162	Nup43	NUP43	Mus musculus
1596513	Nup43	NUP43	Rattus norvegicus
WBGene00003802	npp-16	NUP50	Caenorhabditis elegans
ZDB-GENE-030131-1689	nup50	NUP50	Danio rerio
FBgn0033264	Nup50	NUP50	Drosophila melanogaster
1351502	Nup50	NUP50	Mus musculus
3191	Nup50	NUP50	Rattus norvegicus
WBGene00003787	npp-1	NUP54	Caenorhabditis elegans
ZDB-GENE-040426-2263	nup54	NUP54	Danio rerio
FBgn0033737	Nup54	NUP54	Drosophila melanogaster
1920460	Nup54	NUP54	Mus musculus
S000003351	NUP57	NUP54	Saccharomyces cerevisiae
619926	Nup54	NUP54	Rattus norvegicus
631334	Nup58	NUP58	Rattus norvegicus
1919094	Nupl1	NUP58	Mus musculus
FBgn0038722	Nup58	NUP58	Drosophila melanogaster
ZDB-GENE-040426-2326	nup58	NUP58	Danio rerio
619938	Nup62	NUP62	Rattus norvegicus
S000003577	NSP1	NUP62	Saccharomyces cerevisiae
1351500	Nup62	NUP62	Mus musculus
FBgn0034118	Nup62	NUP62	Drosophila melanogaster
ZDB-GENE-030131-8491	nup62l	NUP62	Danio rerio
WBGene00003797	npp-11	NUP62	Caenorhabditis elegans
2685565	Nup62cl	NUP62CL	Mus musculus
1564353	Nup62cl	NUP62CL	Rattus norvegicus
1311942	Nup85	NUP85	Rattus norvegicus
S000003803	NUP85	NUP85	Saccharomyces cerevisiae
3046173	Nup85	NUP85	Mus musculus
FBgn0034310	Nup75	NUP85	Drosophila melanogaster
WBGene00003788	npp-2	NUP85	Caenorhabditis elegans
ZDB-GENE-040801-145	nup85	NUP85	Danio rerio
620182	Nup88	NUP88	Rattus norvegicus
S000003597	NUP82	NUP88	Saccharomyces cerevisiae
104900	Nup88	NUP88	Mus musculus
FBgn0026207	mbo	NUP88	Drosophila melanogaster
ZDB-GENE-050522-297	nup88	NUP88	Danio rerio
1311525	Nup93	NUP93	Rattus norvegicus
S000001898	NIC96	NUP93	Saccharomyces cerevisiae
1919055	Nup93	NUP93	Mus musculus
WBGene00003799	npp-13	NUP93	Caenorhabditis elegans
ZDB-GENE-990415-46	nup93	NUP93	Danio rerio
FBgn0038274	Nup93-2	NUP93	Drosophila melanogaster
FBgn0027537	Nup93-1	NUP93	Drosophila melanogaster
71033	Nup98	NUP98	Rattus norvegicus
S000003060	NUP145	NUP98	Saccharomyces cerevisiae
109404	Nup98	NUP98	Mus musculus
FBgn0039120	Nup98-96	NUP98	Drosophila melanogaster
WBGene00003796	npp-10	NUP98	Caenorhabditis elegans
ZDB-GENE-040426-1180	nup98	NUP98	Danio rerio
ZDB-GENE-030131-4653	nupr1b	NUPR1	Danio rerio
FBgn0032400	CG6770	NUPR1	Drosophila melanogaster
1891834	Nupr1	NUPR1	Mus musculus
9125019	Nupr1l1	NUPR1	Rattus norvegicus
1560258	Nupr2	NUPR2	Rattus norvegicus
1923099	Nupr1l	NUPR2	Mus musculus
1307879	Nus1	NUS1	Rattus norvegicus
S000002352	NUS1	NUS1	Saccharomyces cerevisiae
1196365	Nus1	NUS1	Mus musculus
FBgn0031312	Tango14	NUS1	Drosophila melanogaster
ZDB-GENE-040718-48	nus1	NUS1	Danio rerio
WBGene00009505	F37B12.3	NUS1	Caenorhabditis elegans
ZDB-GENE-030827-5	nusap1	NUSAP1	Danio rerio
FBgn0039250	Mink	NUSAP1	Drosophila melanogaster
2675669	Nusap1	NUSAP1	Mus musculus
1305764	Nusap1	NUSAP1	Rattus norvegicus
1359213	Nutf2	NUTF2	Rattus norvegicus
WBGene00004305	ran-4	NUTF2	Caenorhabditis elegans
ZDB-GENE-041010-77	nutf2	NUTF2	Danio rerio
FBgn0031145	Ntf-2	NUTF2	Drosophila melanogaster
3704482	Nutf2-ps2	NUTF2	Mus musculus
S000000811	NTF2	NUTF2	Saccharomyces cerevisiae
2661384	Nutm1	NUTM1	Mus musculus
1564529	Nutm1	NUTM1	Rattus norvegicus
1566043	Nutm2f	NUTM2B	Rattus norvegicus
2685652	Nutm2	NUTM2B	Mus musculus
2685652	Nutm2	NUTM2D	Mus musculus
2685652	Nutm2	NUTM2F	Mus musculus
2685652	Nutm2	NUTM2G	Mus musculus
WBGene00003119	mac-1	NVL	Caenorhabditis elegans
ZDB-GENE-040426-2871	nvl	NVL	Danio rerio
FBgn0016983	smid	NVL	Drosophila melanogaster
1914709	Nvl	NVL	Mus musculus
S000003957	RIX7	NVL	Saccharomyces cerevisiae
1311270	Nvl	NVL	Rattus norvegicus
2321209	Nwd1	NWD1	Rattus norvegicus
2442268	Nwd1	NWD1	Mus musculus
WBGene00004265	qui-1	NWD1	Caenorhabditis elegans
ZDB-GENE-071116-8	nwd1	NWD1	Danio rerio
WBGene00020254	T05C3.2	NWD2	Caenorhabditis elegans
FBgn0038397	CG10185	NWD2	Drosophila melanogaster
1920464	Nwd2	NWD2	Mus musculus
1563065	Nwd2	NWD2	Rattus norvegicus
62014	Nxf1	NXF1	Rattus norvegicus
S000006090	MEX67	NXF1	Saccharomyces cerevisiae
1858330	Nxf1	NXF1	Mus musculus
WBGene00003835	nxf-2	NXF1	Caenorhabditis elegans
ZDB-GENE-030131-2585	nxf1	NXF1	Danio rerio
FBgn0003321	sbr	NXF1	Drosophila melanogaster
1559530	Nxf2	NXF2B	Rattus norvegicus
1933192	Nxf2	NXF2B	Mus musculus
2159343	Nxf7	NXF2B	Mus musculus
1564923	Nxf3	NXF3	Rattus norvegicus
2685230	Nxf3	NXF3	Mus musculus
1566170	Nxf7	NXF5	Rattus norvegicus
1933192	Nxf2	NXF5	Mus musculus
1310489	Nxn	NXN	Rattus norvegicus
109331	Nxn	NXN	Mus musculus
ZDB-GENE-050522-75	nxn	NXN	Danio rerio
1308296	Nxnl1	NXNL1	Rattus norvegicus
1924446	Nxnl1	NXNL1	Mus musculus
ZDB-GENE-070424-115	nxnl1	NXNL1	Danio rerio
1594820	Nxnl2	NXNL2	Rattus norvegicus
1922374	Nxnl2	NXNL2	Mus musculus
WBGene00011038	R05H5.3	NXNL2	Caenorhabditis elegans
WBGene00019349	trx-5	NXNL2	Caenorhabditis elegans
ZDB-GENE-041212-55	nxnl2	NXNL2	Danio rerio
1566243	Nxpe1	NXPE1	Rattus norvegicus
3584036	Nxpe5	NXPE1	Mus musculus
2323193	Nxpe2	NXPE2	Rattus norvegicus
1925502	Nxpe2	NXPE2	Mus musculus
1584648	Nxpe3	NXPE3	Rattus norvegicus
2686598	Nxpe3	NXPE3	Mus musculus
ZDB-GENE-061013-214	nxpe3	NXPE3	Danio rerio
1560781	Nxpe4	NXPE4	Rattus norvegicus
1924792	Nxpe4	NXPE4	Mus musculus
3218	Nxph1	NXPH1	Rattus norvegicus
107492	Nxph1	NXPH1	Mus musculus
ZDB-GENE-040718-231	nxph1	NXPH1	Danio rerio
ZDB-GENE-060503-124	nxph2a	NXPH2	Danio rerio
107491	Nxph2	NXPH2	Mus musculus
1598138	Nxph2	NXPH2	Rattus norvegicus
1336188	Nxph3	NXPH3	Mus musculus
620693	Nxph3	NXPH3	Rattus norvegicus
628723	Nxph4	NXPH4	Rattus norvegicus
1336197	Nxph4	NXPH4	Mus musculus
WBGene00003836	nxt-1	NXT1	Caenorhabditis elegans
FBgn0028411	Nxt1	NXT1	Drosophila melanogaster
1929619	Nxt1	NXT1	Mus musculus
1309327	Nxt1	NXT1	Rattus norvegicus
WBGene00003836	nxt-1	NXT2	Caenorhabditis elegans
ZDB-GENE-050521-1	nxt2	NXT2	Danio rerio
FBgn0028411	Nxt1	NXT2	Drosophila melanogaster
2147914	Nxt2	NXT2	Mus musculus
1560204	Nxt2	NXT2	Rattus norvegicus
2443880	Nyap1	NYAP1	Mus musculus
6496186	LOC100910838	NYAP1	Rattus norvegicus
ZDB-GENE-070705-169	nyap2b	NYAP2	Danio rerio
2443135	Nyap2	NYAP2	Mus musculus
9171458	Nyap2	NYAP2	Rattus norvegicus
6486974	Nynrin	NYNRIN	Rattus norvegicus
2652872	Nynrin	NYNRIN	Mus musculus
WBGene00021287	Y24D9B.1	NYNRIN	Caenorhabditis elegans
1561300	Nyx	NYX	Rattus norvegicus
2448607	Nyx	NYX	Mus musculus
ZDB-GENE-061026-3	nyx	NYX	Danio rerio
2442915	Oacyl	OACYLP	Mus musculus
ZDB-GENE-090917-1	oafa	OAF	Danio rerio
FBgn0011818	oaf	OAF	Drosophila melanogaster
94852	Oaf	OAF	Mus musculus
1305890	Oaf	OAF	Rattus norvegicus
1308299	Oard1	OARD1	Rattus norvegicus
ZDB-GENE-050522-480	oard1	OARD1	Danio rerio
FBgn0053054	CG33054	OARD1	Drosophila melanogaster
2146818	Oard1	OARD1	Mus musculus
S000000226	POA1	OARD1	Saccharomyces cerevisiae
621760	Oas1a	OAS1	Rattus norvegicus
2180860	Oas1a	OAS1	Mus musculus
2180852	Oas2	OAS2	Mus musculus
1359697	Oas2	OAS2	Rattus norvegicus
2180850	Oas3	OAS3	Mus musculus
1359319	Oas3	OAS3	Rattus norvegicus
2180849	Oasl1	OASL	Mus musculus
1308586	Oasl	OASL	Rattus norvegicus
1344390	Oasl2	OASL2P	Mus musculus
621724	Oat	OAT	Rattus norvegicus
S000004430	CAR2	OAT	Saccharomyces cerevisiae
97394	Oat	OAT	Mus musculus
FBgn0022774	Oat	OAT	Drosophila melanogaster
ZDB-GENE-110411-148	oat	OAT	Danio rerio
WBGene00015814	oatr-1	OAT	Caenorhabditis elegans
ZDB-GENE-020731-4	oaz1a	OAZ1	Danio rerio
109433	Oaz1	OAZ1	Mus musculus
3219	Oaz1	OAZ1	Rattus norvegicus
WBGene00022748	oaz-1	OAZ2	Caenorhabditis elegans
ZDB-GENE-121005-1	oaz2a	OAZ2	Danio rerio
FBgn0014184	Oda	OAZ2	Drosophila melanogaster
109492	Oaz2	OAZ2	Mus musculus
1562933	Oaz2	OAZ2	Rattus norvegicus
WBGene00022748	oaz-1	OAZ3	Caenorhabditis elegans
ZDB-GENE-020731-5	oaz1b	OAZ3	Danio rerio
1858170	Oaz3	OAZ3	Mus musculus
1599278	Oaz3	OAZ3	Rattus norvegicus
ZDB-GENE-140131-1	obi1	OBI1	Danio rerio
1919736	Obi1	OBI1	Mus musculus
1564706	Obi1	OBI1	Rattus norvegicus
1588212	Obp2a	OBP2A	Rattus norvegicus
2387617	Obp2a	OBP2A	Mus musculus
3651927	Obp2b	OBP2A	Mus musculus
3651927	Obp2b	OBP2B	Mus musculus
631335	Obscn	OBSCN	Rattus norvegicus
2681862	Obscn	OBSCN	Mus musculus
FBgn0086906	sls	OBSCN	Drosophila melanogaster
ZDB-GENE-040812-4	obscna	OBSCN	Danio rerio
ZDB-GENE-070119-5	obscnb	OBSCN	Danio rerio
1306073	Obsl1	OBSL1	Rattus norvegicus
2138628	Obsl1	OBSL1	Mus musculus
ZDB-GENE-060503-649	obsl1a	OBSL1	Danio rerio
ZDB-GENE-070912-300	oc90	OC90	Danio rerio
1313269	Oc90	OC90	Mus musculus
1593441	Oc90	OC90	Rattus norvegicus
2318412	Oca2	OCA2	Rattus norvegicus
97454	Oca2	OCA2	Mus musculus
FBgn0041150	hoe1	OCA2	Drosophila melanogaster
ZDB-GENE-070718-4	oca2	OCA2	Danio rerio
ZDB-GENE-070912-433	si:dkey-208k22.6	OCEL1	Danio rerio
1924340	Ocel1	OCEL1	Mus musculus
1565407	Ocel1	OCEL1	Rattus norvegicus
ZDB-GENE-040426-1100	ociad1	OCIAD1	Danio rerio
FBgn0034793	asrij	OCIAD1	Drosophila melanogaster
1915345	Ociad1	OCIAD1	Mus musculus
1359549	Ociad1	OCIAD1	Rattus norvegicus
ZDB-GENE-041014-253	ociad2	OCIAD2	Danio rerio
1916377	Ociad2	OCIAD2	Mus musculus
2319541	Ociad2	OCIAD2	Rattus norvegicus
620089	Ocln	OCLN	Rattus norvegicus
106183	Ocln	OCLN	Mus musculus
ZDB-GENE-040426-2685	oclna	OCLN	Danio rerio
ZDB-GENE-030805-4	pvalb9	OCM	Danio rerio
3222	Ocm	OCM2	Rattus norvegicus
ZDB-GENE-030805-3	pvalb8	OCM2	Danio rerio
97401	Ocm	OCM2	Mus musculus
1594526	Ocrl	OCRL	Rattus norvegicus
109589	Ocrl	OCRL	Mus musculus
ZDB-GENE-061110-61	ocrl	OCRL	Danio rerio
1308620	Ocstamp	OCSTAMP	Rattus norvegicus
1921864	Ocstamp	OCSTAMP	Mus musculus
ZDB-GENE-050327-65	ocstamp	OCSTAMP	Danio rerio
1308141	Odad1	ODAD1	Rattus norvegicus
2446120	Odad1	ODAD1	Mus musculus
ZDB-GENE-041114-110	ccdc114	ODAD1	Danio rerio
1306933	Odad2	ODAD2	Rattus norvegicus
1922184	Odad2	ODAD2	Mus musculus
FBgn0031905	gudu	ODAD2	Drosophila melanogaster
ZDB-GENE-100316-7	armc4	ODAD2	Danio rerio
1310048	Odad3	ODAD3	Rattus norvegicus
1924859	Odad3	ODAD3	Mus musculus
FBgn0036219	CCDC151	ODAD3	Drosophila melanogaster
ZDB-GENE-061013-787	ccdc151	ODAD3	Danio rerio
1311859	Odad4	ODAD4	Rattus norvegicus
1921657	Odad4	ODAD4	Mus musculus
FBgn0034692	CG13502	ODAD4	Drosophila melanogaster
ZDB-GENE-040426-995	ttc25	ODAD4	Danio rerio
ZDB-GENE-090313-260	odam	ODAM	Danio rerio
1916842	Odam	ODAM	Mus musculus
1561883	Odam	ODAM	Rattus norvegicus
2685891	Odaph	ODAPH	Mus musculus
6489816	Odaph	ODAPH	Rattus norvegicus
3227	Odc1	ODC1	Rattus norvegicus
S000001667	SPE1	ODC1	Saccharomyces cerevisiae
97402	Odc1	ODC1	Mus musculus
FBgn0013307	Odc1	ODC1	Drosophila melanogaster
ZDB-GENE-010816-1	odc1	ODC1	Danio rerio
WBGene00003844	odc-1	ODC1	Caenorhabditis elegans
97424	Odf1	ODF1	Mus musculus
3228	Odf1	ODF1	Rattus norvegicus
3229	Odf2	ODF2	Rattus norvegicus
ZDB-GENE-091117-46	odf2a	ODF2	Danio rerio
FBgn0031546	CG8851	ODF2	Drosophila melanogaster
1098824	Odf2	ODF2	Mus musculus
1098600	Odf2l	ODF2L	Mus musculus
1593831	Odf2l	ODF2L	Rattus norvegicus
1310028	Odf3	ODF3	Rattus norvegicus
1916537	Odf3	ODF3	Mus musculus
ZDB-GENE-030131-7464	odf3b	ODF3	Danio rerio
FBgn0039104	CG10252	ODF3	Drosophila melanogaster
1564322	Odf3b	ODF3B	Rattus norvegicus
ZDB-GENE-030131-7464	odf3b	ODF3B	Danio rerio
1917363	Odf3b	ODF3B	Mus musculus
2681875	Odf3l1	ODF3L1	Mus musculus
1304976	Odf3l1	ODF3L1	Rattus norvegicus
1310260	Odf3l2	ODF3L2	Rattus norvegicus
ZDB-GENE-080723-64	odf3l2b	ODF3L2	Danio rerio
2686003	Odf3l2	ODF3L2	Mus musculus
2182079	Odf4	ODF4	Mus musculus
1359332	Odf4	ODF4	Rattus norvegicus
WBGene00003851	odr-4	ODR4	Caenorhabditis elegans
ZDB-GENE-080502-1	odr4	ODR4	Danio rerio
FBgn0036286	CG10616	ODR4	Drosophila melanogaster
2385108	Odr4	ODR4	Mus musculus
1307830	Odr4	ODR4	Rattus norvegicus
ZDB-GENE-140106-225	ofcc1	OFCC1	Danio rerio
2658851	Ofcc1	OFCC1	Mus musculus
1589812	Ofcc1	OFCC1	Rattus norvegicus
1562231	Ofd1	OFD1	Rattus norvegicus
1350328	Ofd1	OFD1	Mus musculus
ZDB-GENE-030131-5427	ofd1	OFD1	Danio rerio
621077	Oga	OGA	Rattus norvegicus
WBGene00020596	oga-1	OGA	Caenorhabditis elegans
ZDB-GENE-030131-3208	oga	OGA	Danio rerio
FBgn0038870	Oga	OGA	Drosophila melanogaster
1932139	Oga	OGA	Mus musculus
9122992	LOC103693780	OGDH	Rattus norvegicus
S000001387	KGD1	OGDH	Saccharomyces cerevisiae
1098267	Ogdh	OGDH	Mus musculus
FBgn0010352	Nc73EF	OGDH	Drosophila melanogaster
ZDB-GENE-090311-8	ogdhb	OGDH	Danio rerio
WBGene00020679	ogdh-1	OGDH	Caenorhabditis elegans
1310916	Ogdhl	OGDHL	Rattus norvegicus
S000001387	KGD1	OGDHL	Saccharomyces cerevisiae
3616088	Ogdhl	OGDHL	Mus musculus
WBGene00020679	ogdh-1	OGDHL	Caenorhabditis elegans
ZDB-GENE-111201-4	ogdhl	OGDHL	Danio rerio
FBgn0010352	Nc73EF	OGDHL	Drosophila melanogaster
WBGene00015915	C17G10.1	OGFOD1	Caenorhabditis elegans
ZDB-GENE-030131-3294	ogfod1	OGFOD1	Danio rerio
2442978	Ogfod1	OGFOD1	Mus musculus
S000000851	TPA1	OGFOD1	Saccharomyces cerevisiae
1308848	Ogfod1	OGFOD1	Rattus norvegicus
ZDB-GENE-061215-54	ogfod2	OGFOD2	Danio rerio
1913877	Ogfod2	OGFOD2	Mus musculus
1310594	Ogfod2	OGFOD2	Rattus norvegicus
ZDB-GENE-081022-180	uts2r2	OGFOD3	Danio rerio
1913429	Ogfod3	OGFOD3	Mus musculus
1305007	Ogfod3	OGFOD3	Rattus norvegicus
ZDB-GENE-030131-377	ogfr	OGFR	Danio rerio
1919325	Ogfr	OGFR	Mus musculus
69324	Ogfr	OGFR	Rattus norvegicus
1308498	Ogfrl1	OGFRL1	Rattus norvegicus
1917405	Ogfrl1	OGFRL1	Mus musculus
ZDB-GENE-061207-32	ogfrl1	OGFRL1	Danio rerio
621168	Ogg1	OGG1	Rattus norvegicus
S000004525	OGG1	OGG1	Saccharomyces cerevisiae
1097693	Ogg1	OGG1	Mus musculus
FBgn0027864	Ogg1	OGG1	Drosophila melanogaster
ZDB-GENE-070112-932	ogg1	OGG1	Danio rerio
11378586	NEWGENE_1308171	OGN	Rattus norvegicus
ZDB-GENE-050208-650	ogna	OGN	Danio rerio
109278	Ogn	OGN	Mus musculus
62060	Ogt	OGT	Rattus norvegicus
1339639	Ogt	OGT	Mus musculus
FBgn0261403	sxc	OGT	Drosophila melanogaster
ZDB-GENE-051128-1	ogt.2	OGT	Danio rerio
WBGene00003858	ogt-1	OGT	Caenorhabditis elegans
ZDB-GENE-090313-328	oip5	OIP5	Danio rerio
1917895	Oip5	OIP5	Mus musculus
1564263	Oip5	OIP5	Rattus norvegicus
6496122	Oip5-as1	OIP5-AS1	Rattus norvegicus
ZDB-LINCRNAG-030131-2500	oip5-as1	OIP5-AS1	Danio rerio
ZDB-GENE-130530-907	oit3	OIT3	Danio rerio
1201782	Oit3	OIT3	Mus musculus
735082	Oit3	OIT3	Rattus norvegicus
1307982	Ola1	OLA1	Rattus norvegicus
S000000229	OLA1	OLA1	Saccharomyces cerevisiae
WBGene00012344	ola-1	OLA1	Caenorhabditis elegans
ZDB-GENE-030131-5063	ola1	OLA1	Danio rerio
FBgn0030151	CG1354	OLA1	Drosophila melanogaster
1914309	Ola1	OLA1	Mus musculus
ZDB-GENE-060312-17	olah	OLAH	Danio rerio
2139018	Olah	OLAH	Mus musculus
621115	Olah	OLAH	Rattus norvegicus
620320	Olfm1	OLFM1	Rattus norvegicus
1860437	Olfm1	OLFM1	Mus musculus
ZDB-GENE-040718-194	olfm1a	OLFM1	Danio rerio
1309741	Olfm2	OLFM2	Rattus norvegicus
ZDB-GENE-040426-2882	olfm2a	OLFM2	Danio rerio
3045350	Olfm2	OLFM2	Mus musculus
628672	Olfm3	OLFM3	Rattus norvegicus
2387329	Olfm3	OLFM3	Mus musculus
ZDB-GENE-080219-11	olfm3a	OLFM3	Danio rerio
ZDB-GENE-070912-606	olfm3b	OLFM3	Danio rerio
1311708	Olfm4	OLFM4	Rattus norvegicus
2685142	Olfm4	OLFM4	Mus musculus
ZDB-GENE-131120-11	si:ch211-173a9.7	OLFM4	Danio rerio
2443346	Olfm5	OLFM5P	Mus musculus
ZDB-GENE-090422-2	olfml1	OLFML1	Danio rerio
2679264	Olfml1	OLFML1	Mus musculus
1311854	Olfml1	OLFML1	Rattus norvegicus
1311651	Olfml2a	OLFML2A	Rattus norvegicus
2444741	Olfml2a	OLFML2A	Mus musculus
ZDB-GENE-081105-107	olfml2a	OLFML2A	Danio rerio
ZDB-GENE-041014-329	olfml2ba	OLFML2B	Danio rerio
2443310	Olfml2b	OLFML2B	Mus musculus
1309257	Olfml2b	OLFML2B	Rattus norvegicus
ZDB-GENE-050302-161	olfml3b	OLFML3	Danio rerio
1914877	Olfml3	OLFML3	Mus musculus
1311106	Olfml3	OLFML3	Rattus norvegicus
621129	Olig1	OLIG1	Rattus norvegicus
1355334	Olig1	OLIG1	Mus musculus
WBGene00001960	hlh-16	OLIG1	Caenorhabditis elegans
ZDB-GENE-050107-2	olig1	OLIG1	Danio rerio
1307098	Olig2	OLIG2	Rattus norvegicus
1355331	Olig2	OLIG2	Mus musculus
ZDB-GENE-030131-4013	olig2	OLIG2	Danio rerio
1305997	Olig3	OLIG3	Rattus norvegicus
2149955	Olig3	OLIG3	Mus musculus
ZDB-GENE-080903-1	olig3	OLIG3	Danio rerio
620515	Olr1	OLR1	Rattus norvegicus
1261434	Olr1	OLR1	Mus musculus
ZDB-GENE-091204-124	oma1	OMA1	Danio rerio
1914263	Oma1	OMA1	Mus musculus
S000001795	OMA1	OMA1	Saccharomyces cerevisiae
1304821	Oma1	OMA1	Rattus norvegicus
621818	Omd	OMD	Rattus norvegicus
1350918	Omd	OMD	Mus musculus
ZDB-GENE-060503-756	omd	OMD	Danio rerio
ZDB-GENE-110628-1	omgb	OMG	Danio rerio
106586	Omg	OMG	Mus musculus
1359125	Omg	OMG	Rattus norvegicus
3231	Omp	OMP	Rattus norvegicus
97436	Omp	OMP	Mus musculus
ZDB-GENE-030103-1	ompb	OMP	Danio rerio
2811	Onecut1	ONECUT1	Rattus norvegicus
1196423	Onecut1	ONECUT1	Mus musculus
FBgn0028996	onecut	ONECUT1	Drosophila melanogaster
WBGene00015934	ceh-48	ONECUT1	Caenorhabditis elegans
ZDB-GENE-040426-1469	onecut1	ONECUT1	Danio rerio
1564677	Onecut2	ONECUT2	Rattus norvegicus
1891408	Onecut2	ONECUT2	Mus musculus
WBGene00015934	ceh-48	ONECUT2	Caenorhabditis elegans
ZDB-GENE-120215-73	onecut2	ONECUT2	Danio rerio
1891409	Onecut3	ONECUT3	Mus musculus
ZDB-GENE-130805-1	onecut3b	ONECUT3	Danio rerio
1915218	Ooep	OOEP	Mus musculus
1311103	Ooep	OOEP	Rattus norvegicus
1590944	Oosp1	OOSP1	Rattus norvegicus
2149290	Oosp1	OOSP1	Mus musculus
2684945	Oosp2	OOSP2	Mus musculus
1590948	Oosp2	OOSP2	Rattus norvegicus
708423	Opa1	OPA1	Rattus norvegicus
S000005737	MGM1	OPA1	Saccharomyces cerevisiae
1921393	Opa1	OPA1	Mus musculus
FBgn0261276	Opa1	OPA1	Drosophila melanogaster
WBGene00001134	eat-3	OPA1	Caenorhabditis elegans
1309147	Opa3	OPA3	Rattus norvegicus
2686271	Opa3	OPA3	Mus musculus
FBgn0039126	CG13601	OPA3	Drosophila melanogaster
ZDB-GENE-050210-1	opa3	OPA3	Danio rerio
WBGene00019274	H43I07.1	OPA3	Caenorhabditis elegans
1307776	Opalin	OPALIN	Rattus norvegicus
2657025	Opalin	OPALIN	Mus musculus
620635	Opcml	OPCML	Rattus norvegicus
97397	Opcml	OPCML	Mus musculus
FBgn0039617	DIP-γ	OPCML	Drosophila melanogaster
FBgn0031725	DIP-η	OPCML	Drosophila melanogaster
ZDB-GENE-060421-6020	ntm	OPCML	Danio rerio
1563435	Ophn1	OPHN1	Rattus norvegicus
2151070	Ophn1	OPHN1	Mus musculus
ZDB-GENE-040718-464	ophn1	OPHN1	Danio rerio
620956	Oplah	OPLAH	Rattus norvegicus
S000001698	OXP1	OPLAH	Saccharomyces cerevisiae
1922725	Oplah	OPLAH	Mus musculus
WBGene00021430	Y38F2AR.12	OPLAH	Caenorhabditis elegans
ZDB-GENE-121214-293	oplah	OPLAH	Danio rerio
FBgn0034733	CG4752	OPLAH	Drosophila melanogaster
1097692	Opn1mw	OPN1LW	Mus musculus
ZDB-GENE-990604-41	opn1lw1	OPN1LW	Danio rerio
620978	Opn1mw	OPN1MW2	Rattus norvegicus
ZDB-GENE-040718-141	opn1lw2	OPN1MW2	Danio rerio
1097692	Opn1mw	OPN1MW2	Mus musculus
621033	Opn1sw	OPN1SW	Rattus norvegicus
99438	Opn1sw	OPN1SW	Mus musculus
ZDB-GENE-991109-25	opn1sw1	OPN1SW	Danio rerio
ZDB-GENE-080227-16	opn3	OPN3	Danio rerio
1338022	Opn3	OPN3	Mus musculus
1594385	Opn3	OPN3	Rattus norvegicus
621701	Opn4	OPN4	Rattus norvegicus
1353425	Opn4	OPN4	Mus musculus
FBgn0019940	Rh6	OPN4	Drosophila melanogaster
ZDB-GENE-070111-2	opn4a	OPN4	Danio rerio
FBgn0002940	ninaE	OPN4	Drosophila melanogaster
727869	Opn5	OPN5	Rattus norvegicus
ZDB-GENE-041001-179	opn5	OPN5	Danio rerio
2662912	Opn5	OPN5	Mus musculus
3233	Oprd1	OPRD1	Rattus norvegicus
97438	Oprd1	OPRD1	Mus musculus
ZDB-GENE-990415-199	oprd1a	OPRD1	Danio rerio
69426	Oprk1	OPRK1	Rattus norvegicus
97439	Oprk1	OPRK1	Mus musculus
ZDB-GENE-030729-1	oprk1	OPRK1	Danio rerio
68438	Oprl1	OPRL1	Rattus norvegicus
97440	Oprl1	OPRL1	Mus musculus
ZDB-GENE-040312-4	oprl1	OPRL1	Danio rerio
3234	Oprm1	OPRM1	Rattus norvegicus
97441	Oprm1	OPRM1	Mus musculus
ZDB-GENE-010125-1	oprm1	OPRM1	Danio rerio
70553	C5ar1	OPRPN	Rattus norvegicus
88232	C5ar1	OPRPN	Mus musculus
1304916	Optc	OPTC	Rattus norvegicus
2151113	Optc	OPTC	Mus musculus
